Telescope	Very Rare	Every {{red|3}} spins, all symbols are considered adjacent.	telescope	{{version|0}}	nil
Happy Hour	Common	{{Group|booze|verbose=true|conj=and}} give {{Coins|1}} more.	happy_hour	{{version|0}}	nil
Jack-o'-lantern	Common	{{Group|halloween|verbose=true|conj=and}} give {{x|2}} more {{Coins}}.	jackolantern	{{version|0}}	nil
Horseshoe	Uncommon	Gives {{Coins|2}}.	horseshoe	{{version|0}}	nil
Undertaker	Rare	{{IconL|Spirit}} cannot be {{sd|destroyed}}.	undertaker	Demo	nil
Bowling Ball	Rare	Gives {{Coins|3}}.	bowling_ball	{{version|0}}	nil
Coffee	Rare	If you can't afford your rent, you may {{red|destroy}} this item and spin an additional time.	coffee	{{version|0}}	nil
Holy Water	Rare	{{Group|hex|verbose=true|conj=and}} have no effect and give {{Coins|1}} more.	holy_water	{{version|0}}	nil
Dishwasher	Rare	Gives {{EssenceTokens|1}} every {{red|12}} spins.	dishwasher	{{version|9}}	nil
Lucky Cat	Common	You are {{x|1.3}} more likely to find {{Uncommon}}, {{Rare}}, and {{VeryRare}} symbols for each {{IconL|Cat}}.	lucky_cat	{{version|0}}	nil
Popsicle	Very Rare	The conditional effects of {{carmine|essences}} must happen {{red|2}} times for them to be {{red|destroyed}}.	popsicle	{{version|9}}	nil
Small Symbol Bomb	Common	You may {{red|destroy}} this item and choose {{red|2}} symbols to {{red|add}}.	symbol_bomb_small	Demo	nil
Green Pepper	Common	Gives {{Coins|3}} if at least {{red|3}} symbols are the same and not {{IconL|Empty}}.	green_pepper	Demo	nil
Rusty Gear	Uncommon	If {{red|3}} or more of the same symbol are adjacent and not {{IconL|Empty}}, they give {{x|2}} more {{Coins}}.	rusty_gear	{{version|0}}	nil
Purple Pepper	Common	Gives {{Coins|5}} if {{red|3}} or more of the same symbol are adjacent and not {{IconL|Empty}}.	purple_pepper	{{version|0}}	nil
