Piñata	1	{{red|Adds}} {{IconL|Candy|count=7}} when {{sd|destroyed}}.	Uncommon	pinata	Demo	nil
Peach	2	{{red|Adds}} {{IconL|Seed}} when {{sd|destroyed}}.	Uncommon	peach	{{version|0}}	nil
Spades	1	Adjacent {{Group|Clubs|Spades|verbose=true|conj=and}} give {{Coins|1}} more. Gives {{Coins|1}} more if there are at least {{red|3}} {{Group|suit|verbose=true|conj=or}}.	Uncommon	spades	Demo	nil
Bounty Hunter	1	{{sd|Destroys}} adjacent {{IconL|Thief}}. Gives {{Coins|20}} for each {{IconL|Thief}} {{sd|destroyed}}.	Common	bounty_hunter	Demo	nil
Plum	2	nil	Uncommon	plum	{{version|0}}	{{version|10}}
Banana	1	{{red|Adds}} {{IconL|Banana Peel}} when {{sd|destroyed}}.	Common	banana	{{version|0}}	nil
Hex of Thievery	3	Has a {{%|30}} chance to take {{Coins|6}}.	Uncommon	hex_of_thievery	{{version|0}}	nil
Strawberry	3	Gives {{coins|1}} more if there are at least {{iconL|Strawberry|count=2}}.	Rare	strawberry	Demo	nil
Comedian	3	Adjacent {{Group|funny|verbose=true|conj=and}} give {{x|3}} more {{coins}}.	Rare	comedian	{{version|10}}	nil
Treasure Chest	2	Gives {{coins|50}} when {{sd|destroyed}}.	Rare	treasure_chest	Demo	nil
Witch	2	Adjacent {{Group|witchlikes|verbose=true|conj=and}} give {{x|2}} more {{Coins}}.	Rare	witch	{{version|0}}	nil
Crab	1	Gives {{Coins|3}} more for {{red|each other}} {{IconL|Crab}} in the same row.	Common	crab	{{version|1}}	nil
Geologist	2	{{sd|Destroys}} adjacent {{Group|archlikes|verbose=true|conj=and}}.  Permanently gives {{Coins|1}} for each symbol {{sd|destroyed}}.	Rare	archaeologist	Demo	nil
Clubs	1	Adjacent {{Group|Clubs|Spades|verbose=true|conj=and}} give {{Coins|1}} more. Gives {{Coins|1}} more if there are at least {{red|3}} {{Group|suit|verbose=true|conj=or}}.	Uncommon	clubs	Demo	nil
Honey	3	nil	Rare	honey	Demo	nil
Wealthy Capsule	0	{{sd|Destroys}} itself. Gives {{Coins|10}} when {{sd|destroyed}}.	Uncommon	lucky_capsule	Demo	nil
Highlander	6	There can be only {{IconL|Highlander|count=1}}.	Very Rare	highlander	Demo	nil
Snail	0	Gives {{Coins|5}} every {{red|4}} spins.	Common	snail	{{version|0}}	nil
Target	2	Gives {{coins|10}} when {{sd|destroyed}}.	Uncommon	target	{{version|5}}	nil
Beehive	3	Has a {{%|10}} chance of {{red|adding}} {{IconL|Honey}}.	Rare	beehive	Demo	nil
Golden Egg	4	nil	Rare	golden_egg	{{version|0}}	nil
Item Capsule	0	{{sd|Destroys}} itself. {{red|Adds}} 1 {{Common}} item when {{sd|destroyed}}.	Uncommon	item_capsule	{{version|0}}	nil
Safe	1	Gives {{coins|30}} when {{sd|destroyed}}.	Uncommon	safe	Demo	nil
Light Bulb	1	Adjacent {{Group|gem|verbose=true|conj=and}} give {{x|2}} more {{Coins}}. {{sd|Destroys}} itself after making other symbols give additional {{coins}} {{red|5 times}}.	Common	light_bulb	{{version|10}}	nil
Coal	0	{{st|Transforms}} into {{IconL|Diamond}} after {{red|20}} spins.	Common	coal	Demo	nil
Hex of Draining	3	Has a {{%|30}} chance to make an adjacent symbol give {{Coins|0}}.	Uncommon	hex_of_draining	{{version|1}}	nil
Bee	1	Adjacent {{Group|beelikes|verbose=true|conj=and}} give {{x|2}} more {{Coins}}. Gives {{coins|1}} more for each adjacent {{Group|beelikes|verbose=true|conj=or}}.	Common	bee	Demo	nil
Void Stone	0	Adjacent {{IconL|Empty}} give {{Coins|1}} more. {{sd|Destroys}} itself if adjacent to {{IconL|Empty|count=0}}. Gives {{Coins|8}} when {{sd|destroyed}}.	Uncommon	void_stone	{{version|1}}	nil
Cat	1	{{sd|Destroys}} adjacent {{IconL|Milk}}. Gives {{Coins|9}} for each {{IconL|Milk}} {{sd|destroyed}}.	Common	cat	Demo	nil
Orange	2	nil	Uncommon	orange	Demo	nil
Watermelon	4	Gives {{coins|1}} more for {{red|each other}} {{IconL|Watermelon}}.	Very Rare	watermelon	Demo	nil
Gambler	1	Gives {{Coins|?}} when {{sd|destroyed}}. "{{Coins|?}}" increases by {{Coins|2}} each spin. {{sd|Destroys}} itself when {{IconL|Five-Sided Die}} or {{IconL|Three-Sided Die}} rolls {{Icon|Five-Sided Die 1|Five-Sided Die|alt=1}} or {{Icon|Three-Sided Die 1|Three-Sided Die|alt=1}}.	Common	gambler	{{version|12}}	nil
Midas Bomb	0	{{sd|Destroys}} itself and all adjacent symbols. Symbols {{sd|destroyed}} this way give {{Coins}} equal to {{x|7}} their value.	Very Rare	midas_bomb	Demo	nil
Jellyfish	2	Gives {{RemovalTokens|1}} when {{sr|removed}}.	Uncommon	jellyfish	{{version|12}}	nil
Hustling Capsule	-7	{{sd|Destroys}} itself. {{red|Adds}} {{IconL|Pool Ball|count=1}} item when {{sd|destroyed}}.	Uncommon	hustler	{{version|0}}	nil
Shiny Pebble	1	You are {{x|1.1}} more likely to find {{Uncommon}}, {{Rare}}, and {{VeryRare}} symbols.	Common	shiny_pebble	{{version|0}}	nil
Chemical Seven	0	{{sd|Destroys}} itself. Gives {{Coins|7}} and {{red|adds}} {{IconL|Lucky Seven|count=1}} item when {{sd|destroyed}}.	Uncommon	chemical_seven	{{version|0}}	nil
Amethyst	1	Whenever another symbol makes this symbol give additional {{coins}}, this symbol permanently gives {{coins|1}} more.	Rare	amethyst	{{version|7}}	nil
Matryoshka Doll	0	{{sd|Destroys}} itself after {{red|3}} spins. {{red|Adds}} {{IconL|Matryoshka Doll 2|Matryoshka Doll}} when {{sd|destroyed}}.	Uncommon	matryoshka_doll_1	{{version|2}}	nil
Copper	2	nil	Uncommon	copper	Demo	{{Version|3}}
Ruby	3	Gives {{coins|1}} more if there are at least {{iconL|Ruby|count=2}}.	Rare	ruby	Demo	nil
Coconut Half	2	nil	Uncommon	coconut_half	{{version|1}}	nil
Milk	1	nil	Common	milk	{{version|6}}	nil
Hex of Destruction	3	Has a {{%|30}} chance to {{sd|Destroy}} an adjacent symbol.	Uncommon	hex_of_destruction	{{version|0}}	nil
Coin	1	nil	Common	coin	Demo	nil
Cheese	1	nil	Common	cheese	Demo	nil
Bubble	2	{{sd|Destroys}} itself after giving {{Coins}} {{red|3 times}}.	Common	bubble	{{version|5}}	nil
Pirate	2	{{sd|Destroys}} adjacent {{Group|piratelikes|verbose=true|conj=and}}. Permanently gives {{Coins|1}} for each symbol {{sd|destroyed}}.	Very Rare	pirate	{{version|6}}	nil
Removal Capsule	0	{{sd|Destroys}} itself. Gives {{RemovalTokens|1}} when {{sd|destroyed}}.	Uncommon	removal_capsule	{{version|3}}	nil
Beer	1	nil	Common	beer	{{version|0}}	nil
Magpie	-1	Gives {{Coins|9}} every {{red|4}} spins.	Common	magpie	{{version|0}}	nil
Flower	1	nil	Common	flower	Demo	nil
Bronze Arrow	0	Points a random direction. Symbols that are pointed to give {{x|2}} more {{Coins}}. {{sd|Destroys}} {{IconL|Target}} that are pointed to.	Uncommon	bronze_arrow	{{version|2}}	nil
Spirit	6	{{sd|Destroys}} itself after giving {{Coins}} {{red|4 times}}.	Rare	spirit	Demo	nil
Sand Dollar	2	Gives {{coins|10}} when {{sr|removed}}.	Uncommon	sand_dollar	{{version|12}}	nil
Wolf	2	nil	Uncommon	wolf	Demo	nil
Goldfish	1	{{sd|Destroys}} adjacent {{IconL|Bubble}}. Gives {{coins|15}} for each {{IconL|Bubble}} {{sd|destroyed}}.	Common	goldfish	{{version|0}}	nil
Quartz	1	nil	Common	quartz	Demo	{{Version|2}}
Tomb	3	Has a {{%|6}} chance of {{red|adding}} {{IconL|Spirit}}. {{red|Adds}} {{IconL|Spirit|count=4}} when {{sd|destroyed}}.	Rare	tomb	Demo	nil
Cherry	1	nil	Common	cherry	Demo	nil
Matryoshka Doll 5	4	nil	Special	matryoshka_doll_5	{{version|2}}	nil
Anchor	1	Gives {{coins|4}} more when in a corner.	Common	anchor	{{version|6}}	nil
Sun	3	Adjacent {{IconL|Flower}} give {{x|5}} more {{Coins}}. Adjacent {{IconL|Seed}} are {{%|50}} more likely to {{st|grow}}.	Rare	sun	Demo	nil
Key	1	{{sd|Destroys}} adjacent {{Group|chest|verbose=true|conj=and}}. {{sd|Destroys}} itself afterwards.	Common	key	{{version|1}}	nil
Topaz	2	nil	Uncommon	topaz	Demo	{{Version|3}}
Diver	2	{{sr|Removes}} adjacent {{Group|poslikes|verbose=true|conj=and}}. Permanently gives {{Coins|1}} for each symbol {{sr|removed}}.	Rare	diver	{{version|2}}	nil
Dog	1	Gives {{Coins|1}} more if adjacent to {{Group|doglikes|verbose=true|conj=or}}.	Common	dog	Demo	nil
Owl	1	Gives {{Coins|1}} every {{red|3}} spins.	Common	owl	Demo	nil
Diamonds	1	Adjacent {{Group|Diamonds|Hearts|verbose=true|conj=and}} give {{Coins|1}} more. Gives {{Coins|1}} more if there are at least {{red|3}} {{Group|suit|verbose=true|conj=or}}.	Uncommon	diamonds	Demo	nil
Egg	1	Has a {{%|10}} chance to {{st|transform}} into {{IconL|Chick}}.	Common	egg	{{version|0}}	nil
Matryoshka Doll 4	3	{{sd|Destroys}} itself after {{red|9}} spins. {{red|Adds}} {{IconL|Matryoshka Doll 5|Matryoshka Doll}} when {{sd|destroyed}}.	Special	matryoshka_doll_4	{{version|2}}	nil
Sapphire	2	nil	Uncommon	sapphire	Demo	nil
Oyster	1	Has a {{%|20}} chance of adding {{IconL|Pearl}}. {{red|Adds}} {{IconL|Pearl}} when {{sd|destroyed}}.	Common	oyster	{{version|2}}	nil
Mrs. Fruit	2	{{sd|Destroys}} adjacent {{Group|fruitlikes|verbose=true|conj=and}}.  Permanently gives {{Coins|1}} for each symbol {{sd|destroyed}}.	Rare	mrs_fruit	{{version|1}}	nil
Goose	1	Has a {{%|1}} chance of adding {{IconL|Golden Egg}}.	Common	goose	{{version|0}}	nil
Card Shark	2	Adjacent {{Group|suit|verbose=true|conj=and}} are {{IconL|Wildcard}}.	Rare	card_shark	{{version|2}}	nil
King Midas	1	{{red|Adds}} {{Coins}} each spin. Adjacent {{IconL|Coin}} give {{x|3}} more {{Coins}}.	Rare	king_midas	{{version|0}}	nil
Time Capsule	0	{{sd|Destroys}} itself. {{red|Adds 1}} symbol that was {{sd|destroyed}} this game when {{sd|destroyed}}. Cannot add {{IconL|Time Capsule}}.	Uncommon	time_capsule	{{version|10}}	nil
Pigeon	1	nil	Common	pigeon	Demo	{{Version|2}}
Seed	1	Has a {{%|25}} chance to {{st|grow}} into {{Group|plant|verbose=true|conj=or}}.	Common	seed	Demo	nil
Bluebird	2	nil	Uncommon	bluebird	Demo	{{Version|3}}
Missing	0	nil	Special	missing	{{version|13}}	nil
